네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 컴퓨터/IT
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 40대

"날짜","컴퓨터/IT"
"2021-07-09",8
"2021-07-10",8
"2021-07-11",14
"2021-07-12",15
"2021-07-13",13
"2021-07-14",13
"2021-07-15",20
"2021-07-16",17
"2021-07-17",15
"2021-07-18",10
"2021-07-19",16
"2021-07-20",12
"2021-07-21",12
"2021-07-22",21
"2021-07-23",13
"2021-07-24",13
"2021-07-25",9
"2021-07-26",15
"2021-07-27",11
"2021-07-28",12
"2021-07-29",14
"2021-07-30",8
"2021-07-31",7
"2021-08-01",14
"2021-08-02",14
"2021-08-03",11
"2021-08-04",11
"2021-08-05",11
"2021-08-06",7
"2021-08-07",9
"2021-08-08",11
"2021-08-09",12
"2021-08-10",9
"2021-08-11",9
"2021-08-12",9
"2021-08-13",9
"2021-08-14",8
"2021-08-15",4
"2021-08-16",15
"2021-08-17",11
"2021-08-18",13
"2021-08-19",6
"2021-08-20",12
"2021-08-21",9
"2021-08-22",12
"2021-08-23",22
"2021-08-24",15
"2021-08-25",20
"2021-08-26",19
"2021-08-27",24
"2021-08-28",21
"2021-08-29",12
"2021-08-30",29
"2021-08-31",35
"2021-09-01",46
"2021-09-02",47
"2021-09-03",42
"2021-09-04",19
"2021-09-05",12
"2021-09-06",38
"2021-09-07",43
"2021-09-08",27
"2021-09-09",21
"2021-09-10",36
"2021-09-11",15
"2021-09-12",15
"2021-09-13",17
"2021-09-14",21
"2021-09-15",15
"2021-09-16",12
"2021-09-17",10
"2021-09-18",7
"2021-09-19",8
"2021-09-20",5
"2021-09-21",11
"2021-09-22",6
"2021-09-23",17
"2021-09-24",14
"2021-09-25",11
"2021-09-26",14
"2021-09-27",18
"2021-09-28",17
"2021-09-29",20
"2021-09-30",18
"2021-10-01",17
"2021-10-02",13
"2021-10-03",10
"2021-10-04",13
"2021-10-05",15
"2021-10-06",19
"2021-10-07",16
"2021-10-08",18
"2021-10-09",9
"2021-10-10",14
"2021-10-11",9
"2021-10-12",15
"2021-10-13",26
"2021-10-14",19
"2021-10-15",16
"2021-10-16",7
"2021-10-17",9
"2021-10-18",18
"2021-10-19",14
"2021-10-20",15
"2021-10-21",12
"2021-10-22",14
"2021-10-23",10
"2021-10-24",15
"2021-10-25",18
"2021-10-26",17
"2021-10-27",15
"2021-10-28",27
"2021-10-29",21
"2021-10-30",10
"2021-10-31",14
"2021-11-01",26
"2021-11-02",20
"2021-11-03",16
"2021-11-04",19
"2021-11-05",24
"2021-11-06",11
"2021-11-07",14
"2021-11-08",27
"2021-11-09",27
"2021-11-10",32
"2021-11-11",23
"2021-11-12",17
"2021-11-13",14
"2021-11-14",13
"2021-11-15",28
"2021-11-16",18
"2021-11-17",21
"2021-11-18",19
"2021-11-19",24
"2021-11-20",17
"2021-11-21",14
"2021-11-22",32
"2021-11-23",24
"2021-11-24",33
"2021-11-25",29
"2021-11-26",28
"2021-11-27",22
"2021-11-28",16
"2021-11-29",38
"2021-11-30",32
"2021-12-01",36
"2021-12-02",33
"2021-12-03",18
"2021-12-04",16
"2021-12-05",24
"2021-12-06",29
"2021-12-07",30
"2021-12-08",30
"2021-12-09",25
"2021-12-10",20
"2021-12-11",21
"2021-12-12",20
"2021-12-13",27
"2021-12-14",34
"2021-12-15",30
"2021-12-16",32
"2021-12-17",30
"2021-12-18",26
"2021-12-19",27
"2021-12-20",27
"2021-12-21",34
"2021-12-22",31
"2021-12-23",25
"2021-12-24",22
"2021-12-25",26
"2021-12-26",32
"2021-12-27",24
"2021-12-28",29
"2021-12-29",31
"2021-12-30",38
"2021-12-31",23
