네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 컴퓨터/IT
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 60대이상

"날짜","컴퓨터/IT"
"2021-07-09",2
"2021-07-10",6
"2021-07-11",20
"2021-07-12",12
"2021-07-13",8
"2021-07-14",6
"2021-07-15",12
"2021-07-16",14
"2021-07-17",6
"2021-07-18",8
"2021-07-19",10
"2021-07-20",0
"2021-07-21",26
"2021-07-22",6
"2021-07-23",4
"2021-07-24",12
"2021-07-25",10
"2021-07-26",24
"2021-07-27",6
"2021-07-28",8
"2021-07-29",4
"2021-07-30",8
"2021-07-31",16
"2021-08-01",4
"2021-08-02",2
"2021-08-03",14
"2021-08-04",8
"2021-08-05",20
"2021-08-06",16
"2021-08-07",10
"2021-08-08",2
"2021-08-09",8
"2021-08-10",10
"2021-08-11",16
"2021-08-12",14
"2021-08-13",4
"2021-08-14",18
"2021-08-15",14
"2021-08-16",2
"2021-08-17",10
"2021-08-18",8
"2021-08-19",18
"2021-08-20",2
"2021-08-21",6
"2021-08-22",0
"2021-08-23",16
"2021-08-24",4
"2021-08-25",10
"2021-08-26",8
"2021-08-27",10
"2021-08-28",2
"2021-08-29",4
"2021-08-30",14
"2021-08-31",22
"2021-09-01",22
"2021-09-02",16
"2021-09-03",36
"2021-09-04",12
"2021-09-05",6
"2021-09-06",24
"2021-09-07",18
"2021-09-08",24
"2021-09-09",24
"2021-09-10",24
"2021-09-11",6
"2021-09-12",2
"2021-09-13",32
"2021-09-14",10
"2021-09-15",26
"2021-09-16",24
"2021-09-17",38
"2021-09-18",8
"2021-09-19",14
"2021-09-20",18
"2021-09-21",6
"2021-09-22",12
"2021-09-23",22
"2021-09-24",18
"2021-09-25",18
"2021-09-26",24
"2021-09-27",14
"2021-09-28",28
"2021-09-29",10
"2021-09-30",2
"2021-10-01",12
"2021-10-02",6
"2021-10-03",6
"2021-10-04",4
"2021-10-05",0
"2021-10-06",22
"2021-10-07",16
"2021-10-08",16
"2021-10-09",8
"2021-10-10",10
"2021-10-11",14
"2021-10-12",4
"2021-10-13",18
"2021-10-14",10
"2021-10-15",18
"2021-10-16",10
"2021-10-17",10
"2021-10-18",22
"2021-10-19",32
"2021-10-20",8
"2021-10-21",2
"2021-10-22",8
"2021-10-23",16
"2021-10-24",8
"2021-10-25",10
"2021-10-26",26
"2021-10-27",20
"2021-10-28",20
"2021-10-29",22
"2021-10-30",2
"2021-10-31",20
"2021-11-01",26
"2021-11-02",20
"2021-11-03",16
"2021-11-04",28
"2021-11-05",32
"2021-11-06",18
"2021-11-07",12
"2021-11-08",22
"2021-11-09",12
"2021-11-10",20
"2021-11-11",12
"2021-11-12",18
"2021-11-13",14
"2021-11-14",38
"2021-11-15",26
"2021-11-16",20
"2021-11-17",20
"2021-11-18",22
"2021-11-19",30
"2021-11-20",20
"2021-11-21",18
"2021-11-22",30
"2021-11-23",34
"2021-11-24",12
"2021-11-25",14
"2021-11-26",10
"2021-11-27",54
"2021-11-28",16
"2021-11-29",74
"2021-11-30",52
"2021-12-01",20
"2021-12-02",44
"2021-12-03",50
"2021-12-04",30
"2021-12-05",48
"2021-12-06",38
"2021-12-07",32
"2021-12-08",20
"2021-12-09",36
"2021-12-10",50
"2021-12-11",26
"2021-12-12",26
"2021-12-13",28
"2021-12-14",18
"2021-12-15",24
"2021-12-16",40
"2021-12-17",32
"2021-12-18",30
"2021-12-19",34
"2021-12-20",48
"2021-12-21",20
"2021-12-22",20
"2021-12-23",40
"2021-12-24",4
"2021-12-25",10
"2021-12-26",80
"2021-12-27",28
"2021-12-28",26
"2021-12-29",24
"2021-12-30",8
"2021-12-31",12
"2022-01-01",30
"2022-01-02",26
"2022-01-03",62
